time,latitude,longitude,depth,mag,days_since_start,is_mainshock
2019-07-04 18:23:34.180000+00:00,35.7098333,-117.5078333,0.53,2.02,0.09017141203703705,False
2019-07-04 18:23:38.580000+00:00,35.7245,-117.5373333,4.98,2.11,0.09022233796296296,False
2019-07-04 18:23:46.150000+00:00,35.5775,-117.6258333,6.79,2.11,0.0903099537037037,False
2019-07-04 18:24:35.420000+00:00,35.7016667,-117.5243333,6.68,1.58,0.09088020833333334,False
2019-07-04 18:24:53.670000+00:00,35.5895,-117.6038333,7.08,1.84,0.09109143518518519,False
2019-07-04 18:25:04.980000+00:00,35.6445,-117.6281667,2.88,2.02,0.09122233796296296,False
2019-07-04 18:25:29.620000+00:00,35.7366667,-117.5655,6.5,2.14,0.09150752314814815,False
2019-07-04 18:25:30.760000+00:00,35.6168333,-117.6036667,11.28,2.35,0.0915207175925926,False
2019-07-04 18:26:03.750000+00:00,35.6638333,-117.5245,2.53,3.13,0.0919025462962963,False
2019-07-04 18:26:21.480000+00:00,35.6781667,-117.5008333,2.09,2.41,0.09210775462962963,False
2019-07-04 18:26:30.630000+00:00,35.6845,-117.497,5.1,2.18,0.0922136574074074,False
2019-07-04 18:26:49.190000+00:00,35.7238333,-117.4968333,2.18,1.97,0.09242847222222222,False
2019-07-04 18:27:26.770000+00:00,35.6748333,-117.5143333,2.68,3.29,0.09286342592592592,False
2019-07-04 18:27:59.440000+00:00,35.745,-117.5521667,6.64,4.23,0.09324155092592593,False
2019-07-04 18:28:43.640000+00:00,35.6661667,-117.5656667,7.14,3.75,0.093753125,False
2019-07-04 18:31:34.740000+00:00,35.7275,-117.5465,6.06,2.27,0.09573344907407408,False
2019-07-04 18:32:09.590000+00:00,35.7151667,-117.5438333,5.81,1.95,0.09613680555555555,False
2019-07-04 18:32:16.150000+00:00,35.7385,-117.5126667,7.65,2.31,0.09621273148148149,False
2019-07-04 18:32:23.430000+00:00,35.7013333,-117.4845,6.1,2.06,0.09629699074074073,False
2019-07-04 18:32:43.080000+00:00,35.6921667,-117.5038333,1.11,1.96,0.09652442129629629,False
2019-07-04 18:33:11.450000+00:00,35.6185,-117.5823333,1.98,2.04,0.09685277777777777,False
2019-07-04 18:33:47.060000+00:00,35.6815,-117.498,3.0,1.99,0.09726493055555556,False
2019-07-04 18:34:04.250000+00:00,35.6508333,-117.5433333,1.55,2.48,0.09746388888888888,False
2019-07-04 18:34:43.710000+00:00,35.7338333,-117.538,7.12,2.04,0.09792060185185185,False
2019-07-04 18:34:49.010000+00:00,35.6895,-117.4883333,0.63,2.59,0.09798194444444444,False
2019-07-04 18:35:05.150000+00:00,35.6201667,-117.5906667,7.97,1.94,0.09816875000000001,False
2019-07-04 18:35:18.740000+00:00,35.6388333,-117.5548333,4.43,2.32,0.09832604166666667,False
2019-07-04 18:35:44.180000+00:00,35.7181667,-117.5521667,6.78,2.05,0.0986204861111111,False
2019-07-04 18:35:50.890000+00:00,35.6021667,-117.603,4.21,2.98,0.09869814814814816,False
2019-07-04 18:36:26.560000+00:00,35.6335,-117.5856667,7.07,1.95,0.09911099537037038,False
2019-07-04 18:36:26.590000+00:00,35.634,-117.5848333,6.26,1.89,0.09911134259259259,False
2019-07-04 18:36:33.880000+00:00,35.7681667,-117.6603333,7.54,1.79,0.09919571759259259,False
2019-07-04 18:36:50.830000+00:00,35.683,-117.5108333,4.14,2.35,0.09939189814814814,False
2019-07-04 18:37:31.680000+00:00,35.7223333,-117.5643333,4.12,2.63,0.09986469907407407,False
2019-07-04 18:37:44.400000+00:00,35.6693333,-117.525,1.81,2.31,0.10001192129629631,False
2019-07-04 18:37:56.330000+00:00,35.6623333,-117.6073333,3.38,1.96,0.10014999999999999,False
2019-07-04 18:38:12.560000+00:00,35.6623333,-117.5438333,8.0,1.93,0.10033784722222223,False
2019-07-04 18:38:20+00:00,35.7001667,-117.5231667,1.61,2.24,0.10042395833333333,False
2019-07-04 18:38:37.560000+00:00,35.6245,-117.5891667,7.84,1.51,0.10062719907407408,False
2019-07-04 18:38:45.630000+00:00,35.704,-117.4935,7.91,2.58,0.10072060185185186,False
2019-07-04 18:38:56.130000+00:00,35.6708333,-117.5211667,6.66,2.29,0.10084212962962963,False
2019-07-04 18:39:44.440000+00:00,35.6013333,-117.597,2.81,4.59,0.10140127314814815,False
2019-07-04 18:40:56.740000+00:00,35.652,-117.5368333,2.03,3.05,0.10223807870370372,False
2019-07-04 18:41:14.270000+00:00,35.6763333,-117.5115,2.13,3.07,0.10244097222222222,False
2019-07-04 18:43:38.030000+00:00,35.7161667,-117.5085,11.96,1.79,0.10410486111111111,False
2019-07-04 18:44:09.220000+00:00,35.6033333,-117.6106667,2.47,1.97,0.10446585648148149,False
2019-07-04 18:44:12.400000+00:00,35.7411667,-117.5331667,11.13,2.22,0.10450266203703705,False
2019-07-04 18:44:25+00:00,35.719,-117.5586667,2.06,3.09,0.10464849537037037,False
2019-07-04 18:44:49.460000+00:00,35.6703333,-117.5603333,7.2,2.46,0.10493159722222223,False
2019-07-04 18:45:13.900000+00:00,35.7353333,-117.5416667,8.58,1.63,0.1052144675925926,False
2019-07-04 18:45:41.830000+00:00,35.646,-117.545,1.69,1.84,0.10553773148148148,False
2019-07-04 18:45:58.490000+00:00,35.6666667,-117.535,2.69,1.84,0.10573055555555556,False
2019-07-04 18:46:06.320000+00:00,35.6356667,-117.5538333,6.5,1.99,0.10582118055555556,False
2019-07-04 18:46:11.090000+00:00,35.6805,-117.5015,14.29,1.9,0.10587638888888888,False
2019-07-04 18:47:06.590000+00:00,35.6758333,-117.4853333,8.53,4.34,0.10651875,False
2019-07-04 18:47:22.600000+00:00,35.6755,-117.472,10.27,4.02,0.10670405092592591,False
2019-07-04 18:47:44.310000+00:00,35.6876667,-117.5146667,7.87,3.33,0.10695532407407408,False
2019-07-04 18:47:59.170000+00:00,35.6708333,-117.4686667,10.52,3.22,0.1071273148148148,False
2019-07-04 18:48:15.850000+00:00,35.7091667,-117.4656667,1.77,2.89,0.10732037037037037,False
2019-07-04 18:48:45.320000+00:00,35.677,-117.4776667,11.04,2.48,0.10766145833333335,False
2019-07-04 18:49:31.850000+00:00,35.6525,-117.5171667,2.4,1.99,0.10819999999999999,False
2019-07-04 18:49:52.520000+00:00,35.6565,-117.5396667,1.61,2.13,0.1084392361111111,False
2019-07-04 18:50:00.010000+00:00,35.6486667,-117.5451667,12.69,2.27,0.10852592592592591,False
2019-07-04 18:50:07.150000+00:00,35.6411667,-117.5591667,9.7,2.75,0.10860856481481482,False
2019-07-04 18:50:15.910000+00:00,35.682,-117.4961667,1.26,3.7,0.10870995370370372,False
2019-07-04 18:51:26.820000+00:00,35.6948333,-117.5165,2.42,2.46,0.1095306712962963,False
2019-07-04 18:52:13.620000+00:00,35.656,-117.5376667,2.31,2.78,0.11007233796296297,False
2019-07-04 18:52:56.350000+00:00,35.7418333,-117.5541667,3.44,2.4,0.11056689814814814,False
2019-07-04 18:52:57.560000+00:00,35.6681667,-117.5115,3.16,2.85,0.11058090277777778,False
2019-07-04 18:53:03.340000+00:00,35.6703333,-117.547,4.9,3.08,0.11064780092592592,False
2019-07-04 18:53:27.670000+00:00,35.7285,-117.5605,7.87,3.36,0.11092939814814815,False
2019-07-04 18:54:13.990000+00:00,35.5975,-117.5996667,5.33,4.07,0.11146550925925927,False
2019-07-04 18:54:59.090000+00:00,35.6706667,-117.5288333,4.57,2.86,0.11198749999999999,False
2019-07-04 18:55:27.680000+00:00,35.6753333,-117.4795,10.71,3.03,0.11231840277777777,False
2019-07-04 18:56:06.420000+00:00,35.716,-117.56,1.92,4.58,0.1127667824074074,False
2019-07-04 18:56:22.030000+00:00,35.7086667,-117.5541667,1.16,4.21,0.1129474537037037,False
2019-07-04 18:57:00.850000+00:00,35.7181667,-117.543,3.03,2.89,0.11339675925925925,False
2019-07-04 18:57:15.610000+00:00,35.6888333,-117.5293333,5.72,3.22,0.1135675925925926,False
2019-07-04 18:57:42.060000+00:00,35.7133333,-117.5481667,2.02,2.96,0.11387372685185186,False
2019-07-04 18:57:52.440000+00:00,35.6726667,-117.5125,2.64,2.71,0.11399386574074073,False
2019-07-04 18:58:07.890000+00:00,35.7246667,-117.558,1.91,2.79,0.1141726851851852,False
2019-07-04 18:58:35.670000+00:00,35.6571667,-117.5345,2.01,2.49,0.11449421296296296,False
2019-07-04 18:59:05.080000+00:00,35.6136667,-117.5758333,11.3,1.98,0.11483460648148147,False
2019-07-04 18:59:38.360000+00:00,35.6026667,-117.6023333,4.58,2.27,0.11521979166666667,False
2019-07-04 18:59:54.650000+00:00,35.7201667,-117.548,4.13,2.41,0.11540833333333333,False
2019-07-04 19:00:09.670000+00:00,35.7111667,-117.5513333,1.99,3.22,0.11558217592592591,False
2019-07-04 19:00:14+00:00,35.6773333,-117.5523333,5.01,3.14,0.11563229166666665,False
2019-07-04 19:00:57.860000+00:00,35.727,-117.5518333,2.65,2.08,0.11613993055555555,False
2019-07-04 19:01:06.360000+00:00,35.6485,-117.5375,1.57,2.67,0.11623831018518518,False
2019-07-04 19:01:10.800000+00:00,35.7086667,-117.5565,2.15,3.03,0.11628969907407408,False
2019-07-04 19:01:28.380000+00:00,35.6918333,-117.528,2.65,2.56,0.1164931712962963,False
2019-07-04 19:01:44.690000+00:00,35.716,-117.517,5.79,1.95,0.11668194444444444,False
2019-07-04 19:02:00.180000+00:00,35.729,-117.5498333,4.5,1.93,0.11686122685185185,False
2019-07-04 19:02:24.820000+00:00,35.6465,-117.5418333,1.88,2.67,0.11714641203703705,False
2019-07-04 19:02:44.310000+00:00,35.6888333,-117.4835,11.04,2.39,0.11737199074074074,False
2019-07-04 19:03:02.540000+00:00,35.6616667,-117.5046667,10.25,2.02,0.1175829861111111,False
2019-07-04 19:03:39.590000+00:00,35.7193333,-117.523,8.48,2.04,0.11801180555555554,False
2019-07-04 19:03:42.380000+00:00,35.6606667,-117.522,2.46,2.41,0.11804409722222223,False
2019-07-04 19:03:58.100000+00:00,35.699,-117.506,2.41,1.95,0.11822604166666666,False
2019-07-04 19:04:21.050000+00:00,35.6353333,-117.5971667,10.22,1.65,0.11849166666666668,False
2019-07-04 19:04:36.500000+00:00,35.6468333,-117.5546667,7.04,1.58,0.1186704861111111,False
2019-07-04 19:04:57.310000+00:00,35.7055,-117.509,3.72,2.03,0.1189113425925926,False
2019-07-04 19:05:34.010000+00:00,35.6466667,-117.5458333,2.87,1.83,0.1193361111111111,False
2019-07-04 19:05:46.690000+00:00,35.6636667,-117.5215,2.22,1.62,0.11948287037037036,False
2019-07-04 19:06:10.380000+00:00,35.7133333,-117.5143333,2.84,1.52,0.11975706018518519,False
2019-07-04 19:06:25.430000+00:00,35.6673333,-117.5255,6.58,1.87,0.11993124999999999,False
2019-07-04 19:06:45.330000+00:00,35.74,-117.5413333,2.79,2.12,0.12016157407407406,False
2019-07-04 19:06:55.140000+00:00,35.6375,-117.578,1.51,1.76,0.12027511574074075,False
2019-07-04 19:09:17.700000+00:00,35.6945,-117.4865,10.58,1.92,0.12192511574074073,False
2019-07-04 19:09:55.980000+00:00,35.724,-117.5358333,6.97,1.91,0.1223681712962963,False
2019-07-04 19:10:19.820000+00:00,35.694,-117.4901667,1.58,3.29,0.12264409722222223,False
2019-07-04 19:11:25.420000+00:00,35.7408333,-117.5351667,6.83,1.77,0.12340335648148147,False
2019-07-04 19:11:52.840000+00:00,35.5951667,-117.5971667,8.31,1.86,0.12372071759259258,False
2019-07-04 19:11:58.470000+00:00,35.604,-117.5963333,1.26,1.92,0.12378587962962963,False
2019-07-04 19:12:42.070000+00:00,35.6016667,-117.6015,6.72,1.97,0.12429050925925927,False
2019-07-04 19:12:47.180000+00:00,35.6293333,-117.5905,4.95,1.93,0.12434965277777778,False
